Date,USD_INR,,,,,
01-04-2015,62.142,,,,,
02-04-2015,62.067,,,,,
03-04-2015,61.96,,,,,
06-04-2015,62.207,,,,,
07-04-2015,62.296,,,,,
08-04-2015,62.192,,,,,
09-04-2015,62.306,,,,,
10-04-2015,62.276,,,,,
13-04-2015,62.407,,,,,
14-04-2015,62.268,,,,,
15-04-2015,62.36,,,,,
16-04-2015,62.317,,,,,
17-04-2015,62.55,,,,,
20-04-2015,63.137,,,,,
21-04-2015,62.854,,,,,
22-04-2015,62.98,,,,,
23-04-2015,63.277,,,,,
24-04-2015,63.662,,,,,
27-04-2015,63.346,,,,,
28-04-2015,63.053,,,,,
29-04-2015,63.46,,,,,
30-04-2015,63.529,,,,,
01-05-2015,63.719,,,,,
04-05-2015,63.516,,,,,
05-05-2015,63.369,,,,,
06-05-2015,63.621,,,,,
07-05-2015,64.073,,,,,
08-05-2015,63.711,,,,,
11-05-2015,64.007,,,,,
12-05-2015,64.147,,,,,
13-05-2015,64.013,,,,,
14-05-2015,63.383,,,,,
15-05-2015,63.44,,,,,
18-05-2015,63.708,,,,,
19-05-2015,63.763,,,,,
20-05-2015,63.598,,,,,
21-05-2015,63.58,,,,,
22-05-2015,63.49,,,,,
25-05-2015,63.496,,,,,
26-05-2015,63.972,,,,,
27-05-2015,63.826,,,,,
28-05-2015,63.763,,,,,
29-05-2015,63.743,,,,,
01-06-2015,63.594,,,,,
02-06-2015,63.689,,,,,
03-06-2015,63.997,,,,,
04-06-2015,63.964,,,,,
05-06-2015,63.77,,,,,
08-06-2015,63.947,,,,,
09-06-2015,64.01,,,,,
10-06-2015,63.766,,,,,
11-06-2015,63.959,,,,,
12-06-2015,64.1,,,,,
15-06-2015,64.085,,,,,
16-06-2015,64.166,,,,,
17-06-2015,64.011,,,,,
18-06-2015,63.577,,,,,
19-06-2015,63.5,,,,,
22-06-2015,63.523,,,,,
23-06-2015,63.607,,,,,
24-06-2015,63.526,,,,,
25-06-2015,63.518,,,,,
26-06-2015,63.452,,,,,
29-06-2015,63.707,,,,,
30-06-2015,63.604,,,,,
01-07-2015,63.55,,,,,
02-07-2015,63.299,,,,,
03-07-2015,63.411,,,,,
06-07-2015,63.264,,,,,
07-07-2015,63.476,,,,,
08-07-2015,63.459,,,,,
09-07-2015,63.318,,,,,
10-07-2015,63.358,,,,,
13-07-2015,63.45,,,,,
14-07-2015,63.281,,,,,
15-07-2015,63.507,,,,,
16-07-2015,63.463,,,,,
17-07-2015,63.492,,,,,
20-07-2015,63.6,,,,,
21-07-2015,63.583,,,,,
22-07-2015,63.571,,,,,
23-07-2015,63.921,,,,,
24-07-2015,64.106,,,,,
27-07-2015,64.202,,,,,
28-07-2015,63.799,,,,,
29-07-2015,63.821,,,,,
30-07-2015,64.138,,,,,
