Date,USD_Spot_Price,,,,,
01-04-2015,1204.10,,,,,
02-04-2015,1202.59,,,,,
03-04-2015,1210.90,,,,,
06-04-2015,1214.70,,,,,
07-04-2015,1208.60,,,,,
08-04-2015,1202.80,,,,,
09-04-2015,1195.01,,,,,
10-04-2015,1208.05,,,,,
13-04-2015,1198.85,,,,,
14-04-2015,1193.58,,,,,
15-04-2015,1202.05,,,,,
16-04-2015,1197.65,,,,,
17-04-2015,1204.65,,,,,
20-04-2015,1196.50,,,,,
21-04-2015,1202.68,,,,,
22-04-2015,1187.30,,,,,
23-04-2015,1194.00,,,,,
24-04-2015,1179.38,,,,,
27-04-2015,1202.00,,,,,
28-04-2015,1212.10,,,,,
29-04-2015,1204.80,,,,,
30-04-2015,1184.37,,,,,
01-05-2015,1178.50,,,,,
04-05-2015,1188.25,,,,,
05-05-2015,1193.33,,,,,
06-05-2015,1191.80,,,,,
07-05-2015,1184.80,,,,,
08-05-2015,1188.15,,,,,
11-05-2015,1184.20,,,,,
12-05-2015,1193.50,,,,,
13-05-2015,1215.73,,,,,
14-05-2015,1221.52,,,,,
15-05-2015,1223.85,,,,,
18-05-2015,1225.74,,,,,
19-05-2015,1207.51,,,,,
20-05-2015,1209.28,,,,,
21-05-2015,1206.45,,,,,
22-05-2015,1206.38,,,,,
25-05-2015,1207.17,,,,,
26-05-2015,1187.30,,,,,
27-05-2015,1188.15,,,,,
28-05-2015,1188.45,,,,,
29-05-2015,1190.50,,,,,
01-06-2015,1189.15,,,,,
02-06-2015,1193.38,,,,,
03-06-2015,1185.50,,,,,
04-06-2015,1176.26,,,,,
05-06-2015,1172.00,,,,,
08-06-2015,1173.95,,,,,
09-06-2015,1176.70,,,,,
10-06-2015,1186.48,,,,,
11-06-2015,1182.30,,,,,
12-06-2015,1180.80,,,,,
15-06-2015,1186.40,,,,,
16-06-2015,1181.86,,,,,
17-06-2015,1185.45,,,,,
18-06-2015,1201.42,,,,,
19-06-2015,1200.51,,,,,
22-06-2015,1185.45,,,,,
23-06-2015,1178.44,,,,,
24-06-2015,1175.20,,,,,
25-06-2015,1173.33,,,,,
26-06-2015,1175.07,,,,,
29-06-2015,1180.36,,,,,
30-06-2015,1172.60,,,,,
01-07-2015,1168.80,,,,,
02-07-2015,1166.15,,,,,
03-07-2015,1167.94,,,,,
06-07-2015,1170.15,,,,,
07-07-2015,1155.55,,,,,
08-07-2015,1158.28,,,,,
09-07-2015,1159.65,,,,,
10-07-2015,1163.96,,,,,
13-07-2015,1158.00,,,,,
14-07-2015,1155.53,,,,,
15-07-2015,1149.65,,,,,
16-07-2015,1145.15,,,,,
17-07-2015,1134.10,,,,,
20-07-2015,1096.95,,,,,
21-07-2015,1101.41,,,,,
22-07-2015,1093.45,,,,,
23-07-2015,1090.80,,,,,
24-07-2015,1099.10,,,,,
27-07-2015,1094.42,,,,,
28-07-2015,1095.35,,,,,
29-07-2015,1096.69,,,,,
30-07-2015,1088.99,,,,,
31-07-2015,1095.65,,,,,
03-08-2015,1086.50,,,,,
04-08-2015,1087.45,,,,,
05-08-2015,1085.05,,,,,
06-08-2015,1089.41,,,,,
07-08-2015,1094.20,,,,,
10-08-2015,1104.51,,,,,
11-08-2015,1109.01,,,,,
12-08-2015,1125.30,,,,,
13-08-2015,1115.05,,,,,
14-08-2015,1114.11,,,,,
17-08-2015,1117.66,,,,,
18-08-2015,1118.01,,,,,
19-08-2015,1134.46,,,,,
20-08-2015,1153.16,,,,,
21-08-2015,1161.05,,,,,
24-08-2015,1155.05,,,,,
25-08-2015,1140.65,,,,,
26-08-2015,1125.55,,,,,
27-08-2015,1125.71,,,,,
